schoolName,email
"MAHILA VARG AND KUMAR SHALA","mahilavargandkumarshala18@gmail.com"
"CHANAKYA SHAIKSHNIK SANKUL","dangarjayesh3355@gmail.com"
"SHREE AKSHAR DAY SCHOOL","shreeakshardayschool@gmail.com"
"S.P.SCHOOL","shrisadvichar5253@gmail.com"
"SHREE GYANDIP VIDHYADHAM (ENGLISH MEDIUM)","gyandeepvidhyadham@gmail.com"
"SHREE VEER VIJAY VIDHYALAY","narvirgohil3@gmail.com"
"L.L.MANDIR HIGH SCHOOL(E.M.)","l.l.mandirhighschool@gmail.com"
"AKSHAR PR UP SEC HS SCHOOL ENGLISH","nileshvaghasiya80@gmail.com"
"FAIRYLAND SCHOOL","viveksinhar@gmail.com"
"S.N. KANSAGARA SCHOOL","finance@tges.org"
"CHRIST SCHOOL","christschoolrajkot@gmail.com"
"RAVINDRNATH TAGORE ENG.MED.PRE.SCHOOL","srtems64b@gmail.com"
"SHREE M.B. PATEL VIDHYALAYA AND SHREE RAMDEV VIDHYALAYA","mbpateledu@gmail.com"
"SHRI GEETANJALI VIDHYALAY","bhatthemang1995@gmail.com"
"MIRAMBIKA SECONDARY SCHOOL","shrimirambika@gmail.com"
"SUNRISE SCHOOL ENGLISH MEDIUM","sunriseschool8261@gmail.com"
"SHRI VRUNDAVAN VIDYAMANDIR","sagar.tamaliya97@gmail.com"
"UDAAN EDUCATION CAMPUS (ENG)","udanschool18@gmail.com"
"SARASWATI MADHYAMIK VIDYAMANDIR(SCI.)","rdeosumvm2019@gmail.com"
"SHREE TAXSHILA VIDYAMANDIR","kiritgorwadia@gmail.com"
"GITANJALI PUBLIC SCHOOL","rameshpand65@gmail.com"
"NACHIKETA SCHOOLING SYSTEM GUJARATI","nssytm.rajkot@gmail.com"
"SARVODAY SCHOOL ENGLISH","sarvodaya.mavdi@gmail.com"
"SHREE M B PATEL VIDHYALAY RAMDEV VIDHYALAYA","mbpatelemedu@gmail.com"
"SATYAM PUBLIC SCHOOL","satyam7030@gmail.com"
"SHRI TAPULAL B MEHTA WISDOM SCHOOL(ENGLISH)","principal@mywisdomschool.com"
"SHREE SADGURU VIDHYALAY","bhavnaben793@gmail.com"
"VATSALYA ENGLISH MEDIUM SCHOOL","changranijyoti123@gmail.com"
"GULAB PRATHMIK SHALA","gulabbhai250@gmail.com"
"PRANAMI VIDHYAMANDIR","pranamividhyamandir@gmail.com"
"SHREE SWAMINARAYAN GURUKUL INTERNATIONAL SCHOOL","admin.rjtis@sgis.school"
"OM SHANTI PRATHMIK SHLA","omshantischool@gmail.com"
"KARNAVATI INTERNATIONAL SCHOOL(ENGLISH)","karnavatischool001@gmail.com"
"OM SHREE PRAGATI SCHOOL","omshreepragatischool@gmail.com"
"THE NEW ERA SCHOOL","avanijaludangar@gmail.com"
"PVPST GUJARATI MEDIUM SCHOOL","dharmesh.andhani@tges.org"
"SHREE DHL VIDHYALAY","shreedhlvidyalay@gmail.com"
"SHIV VIDYAMANDIR","om.scmschool@gmail.com"
"SRI CHAITANYA TECHNO SCHOOL","rajkot@srichaitanyascool.net"
"SAFAL VIDYALAY ENGLISH MEDIUM","safalvidyalayrajkot@gmail.com"
"SHREE BANDHULILA PUBLIC SCHOOL","shreebandhulilapublicschool@gmail.com"
"M G AND S G BARDANWALA KANYA VIDHYALAY","cdsankhavara@gmail.com"
"SHREE PANCHNATH  ENGLISH MEDIUM SCHOOL","panchnathschool@gmail.com"
"NAVODIT VIDYALAYA","ketanmaniyar82@gmail.com"
"NOBLEHOOD ENGLISH PRIMARY SCHOOL","noblehoodschool@gmail.com"
"SHREE P D BORKHATARIYA PRIMARY SCHOOL","hetalshappyhome@gmail.com"
"MOTHERS PRIDE SECONDARY SCHOOL","info.tmis@gmail.com"
"VIDYADEEP PUBLIC SCHOOL","principal24091303902@ssguj.in"
"B. A. ODEDARA HIGH SCHOOL","b.a.odedarahighschool@gmail.com"
"KILLOL PRIMARY SCHOOL","killolschoolcfl@gmail.com"
"SARASWATI ENGLISH SCHOOL","principal24091300707@ssguj.in"
"SUNRISE ENGLISH SCHOOL","sunrise.dumiyani@gmail.com"
"SARASVATI PRIMARY SCHOOL","pgbariya1313@gmail.com"
"ADARSH PRIMARY SCHOOL","mayurkasodariya190@gmail.com"
"SUNRISE PRIMARY SCHOOL","schoolsunrise44@gmail.com"
"SARASVATI VIDHYALAY NAGVADAR","govindahir452@gmail.com"
"VIVEKANAND VIDHYALAY","pratapodedara4672@gmail.com"
"NEW ALFA HIGH SCHOOL","ravibhalodia94@gmail.com"
"SARASVATI DHAM PRIMARY SCHOOL","atulchag07@gmail.com"
"SHREE PRIMARY SCHOOL SAMDHIYALA","samadhiyala.pri@gmail.com"
"KRISHNA PRIMARY SCHOOL","krishnaschoolupleta1@gmail.com"
"SHANTINEKETAN SCHOOL","manojniranjani@gmail.com"
"ADARSH PRIMARY SCHOOL BHAYAVADAR","aadarshschools1@gmail.com"
"ADARDH ENGLISH MED. SCHOOL BHAYAVADAR","adarshschools1@gmail.com"
"SHREE SWAMINARYAN GURUKUL BHAYAVADAR","bhayavadar@sgrs.school"
"EKLAVYA ACADEMY BHAYAVADAR","hiteshkotecha55@gmail.com"
"MANGALAM MADHYAMIK SCHOOL","mangalammadhyamikshala2011@gmail.com"
"SHREE VALLABH VIDHYALAY UPLETA","vvsupleta@gmail.com"
"SARDAR PATEL PRIMARY SCHOOL","sardarpatelupleta@gmail.com"
"GHODASRA VIDHYAMANDIR SCHOOL","ghodasaraschool@gmail.com"
"GYAN JYOT PRIMARY SCHOOL","gyanjyptschoolupleta@gmail.com"
"M.D.PRIMARY SCHOOL","mdprimaryupleta@gmail.com"
"SARASVATI PRIMARY VIDHYAMANDIR","spvupl1990@gmail.com"
"NATIONAL ENG MED PRIAMRY SCHOOL","n.e.m.s@gmail.com"
"SARVODAY PRIMARY SCHOOL","rashmithumbal@gmail.com"
"SMT. K. G. SOLANKI SCHOOL","kgsolanki131@gmail.com"
"SAINT MARY'S SCHOOL","smsupleta@gmail.com"
"SHREE VALLABH VIDYALAY H SEC SCHOOL","vvscience2003@gmail.com"
"SHREE VALLABH VIDYALAY HIGHER SECONDARY SCHOOL","vvhsupt@gmail.com"
"SHREE SUNDARBEN KANJI VIDHYALAY","skvidyalaya4@gmail.com"
"MOTHERS PRIDE SCHOOL","director.tmis@gmail.com"
"SHREE KRISHNA ENGLISH SCHOOL","krishnaenglishschool583@gmail.com"
"SHREE GANESHA VIDHYALAYA","ganesha.school@yahoo.com"
"DELTA SCIENCE SCHOOL","deltascienceschool@gmail.com"
"MARKAZ PUBLIC SCHOOL","upletamarkaz@gmail.com"
"SHANTI PUBLIC SCHOOL","shantipublicschoolupleta@gmail.com"
"PRISHRAM ACADEMY","parishramschool149@gmail.com"
"MIRACLE GLOBAL SCHOOL","miracleglobalschool@gmail.com"
"SHRI AASHISH VINAY VIDHYA MANDIR","ms2924187@gmail.com"
"SHANTVAN SHAIKSHANIK SANKUL","shantvanschool2014@gmail.com"
"SHRI SOMNATH VIDHYALAY - SOMPIPALIYA","shrisomnathvidyalaya@gmail.com"
"SHIV VIDHYAPITH (ENG)","vinodzampadiya@gmail.com"
"PANCHSHIL PRIMARY SCHOOL","gsrangapara@gmail.com"
"NAVJIVAN PRI. SCHOOL","naavjivanschool91@gmail.com"
"SHREE ADARSH HIGHER SECONDARY SHALA","ahschoolamrapur@gmail.com"
"SHREE GYAN JYOT PRIMARY SECONDARY AND HIGHER SEC SCHOOL","gyanjyot4@gmail.com"
"KRISHNA ENG.MED.SCHOOL(G.M.)","gnanmandiorvidyalaya2017@gmail.com"
"SHRI SHARDAVIDYA VIHAR","sardavidhyaviharchhasiya@gmail.com"
"PANCHVATI VIDYA VIHAR SHALA","hrgadhadara06@gmail.com"
"SHREE VIDYABHARATI PRI SHALA","vijaykumarmuliya@gmail.com"
